Scenario,Optimization_Objective,Economic_System_Cost_GBP,Installed_AC_MW,Installed_hydroelectric_ph_MW,Installed_offwind_MW,Installed_onwind_MW,Fixed_Capacity_DSR_MW,Fixed_Capacity_load_shed_MW,Total_Generation_MWh,Gen_DSR_%,Gen_battery_%,Gen_hydroelectric_ph_%,Gen_load_shed_%,Gen_offwind_%,Gen_onwind_%,Gen_tidal_%,Total_Curtailment_MWh,"Curtailment_('Generator', 'onwind')_MWh","Curtailment_('StorageUnit', 'onwind')_MWh","Curtailment_('Generator', 'offwind')_MWh","Curtailment_('StorageUnit', 'offwind')_MWh","Curtailment_('Generator', 'tidal')_MWh","Curtailment_('StorageUnit', 'tidal')_MWh","Curtailment_('Generator', 'battery')_MWh","Curtailment_('StorageUnit', 'battery')_MWh","Curtailment_('Generator', 'hydroelectric_ph')_MWh","Curtailment_('StorageUnit', 'hydroelectric_ph')_MWh","Curtailment_('Generator', 'DSR')_MWh","Curtailment_('StorageUnit', 'DSR')_MWh","Curtailment_('Generator', 'load_shed')_MWh","Curtailment_('StorageUnit', 'load_shed')_MWh","Curtailment_('Generator', 'AC')_MWh","Curtailment_('StorageUnit', 'AC')_MWh",sweep_variable,primary_weight,Installed_battery_MW,Installed_tidal_MW
Economic_Baseline,455042844463.56244,33920811081.03713,242157.56166979513,71479.03122101954,88659.66252029483,98892.6803063169,8930.0,45000.0,353509884.3623933,0.16167016122641656,0.0,3.9494997298971914,0.0,73.93949589258304,21.949334216293348,0.0,1435264952.07342,235160948.85083,0,105996317.85888,0,0.0,0,0,0.0,0,626156313.49613,0,73751371.86758,394200000.0,0,0,0,Economic_Baseline,0,,
Sweep_ghg_w0,16001480509451.607,53875296160.34284,134675.87289802113,,109432.8580587884,4507.6920476517535,8930.0,45000.0,360035855.47802496,0.01488185112253918,5.966741502352462,0.0,0.0,87.12684932157623,0.7748390849460087,6.116688240002775,6637276954.864069,11163389.79932,0,120843280.13474,0,44958875.30975,0,0,5992836663.52115,0,0.0,0,73274746.09911,394200000.0,0,0,0,ghg,0,684113.7743745606,19433.224440979604
Sweep_ghg_w50,14864505793062.143,34170593270.481255,242633.32478480216,67604.38402775185,130932.85656852079,46223.79830340379,8930.0,45000.0,351607885.84600806,0.030477132144565246,0.0,3.6835217830787004,0.0,91.96538529336927,4.3206157914074765,0.0,1406718375.89136,138078979.83565,0,208900939.75951,0,0.0,0,0,0.0,0,592214404.08311,0,73324052.21309,394200000.0,0,0,0,ghg,50,,
Sweep_ghg_w100,8670048267317.559,36059413362.78528,276595.0404038598,64302.38945173003,17666.09029197353,236673.9338311363,8930.0,45000.0,355896846.6045694,0.17564078073850917,0.0,4.56474647580687,0.0,20.654235539421265,74.60537720403335,0.0,1471188606.92737,439893421.90732,0,5416.14797,0,0.0,0,0,0.0,0,563288931.59716,0,73800837.27492,394200000.0,0,0,0,ghg,100,,
Sweep_biodiversity & noise_w0,18136456813821.293,43236309910.56221,165745.91702574832,39332.18132804539,103258.10857171043,11025.110259789875,8930.0,45000.0,358334479.07996804,0.02452328102845938,4.441430279620027,1.0600962133750171,0.0,75.87307307354648,0.9609766074893179,17.639900544940712,3389369362.9064703,30683562.8571,0,134663021.91373,0,24069267.59525,0,0,2387895985.26495,0,344549908.43368,0,73307616.84176,394200000.0,0,0,0,biodiversity & noise,0,272590.86589782516,25438.401579785765
Sweep_biodiversity & noise_w50,13628699498757.531,46992909832.09224,132054.68524767132,,143289.94700298313,15395.77263741884,8930.0,45000.0,358332694.6829375,0.019936779718973747,5.510229163770224,0.0,0.0,87.13210214940842,7.33773190710239,0.0,5730492711.30885,22627773.05079,0,263097986.63889,0,0.0,0,0,4977275770.14874,0,0.0,0,73291181.47043,394200000.0,0,0,0,biodiversity & noise,50,568182.1655420933,
Sweep_biodiversity & noise_w100,8044059322178.669,49016476659.18061,180307.55856882417,,105489.96621531119,61264.79320190824,8930.0,45000.0,357171708.4221916,0.01960272039348803,5.203489127336388,0.0,0.0,47.27069157614866,47.506216576121446,0.0,6227920637.75319,34503887.36529,0,259455471.64661,0,0.0,0,0,5466470097.27086,0,0.0,0,73291181.47043,394200000.0,0,0,0,biodiversity & noise,100,624026.2668117416,
Sweep_land use_w0,15769520772717.598,35475698789.63449,242349.11872667124,87788.55357842272,81841.12594899819,75154.62604526282,8930.0,45000.0,354054365.24135065,0.0201776921889668,0.16360406614751027,4.204827655803663,0.0,39.65769717045388,55.02988207023557,0.9238113451703824,1575610784.4104898,56362448.23801,0,192120486.88281,0,11850452.72,0,0,78758485.75226,0,769027729.34698,0,73291181.47043,394200000.0,0,0,0,land use,0,8990.694720577649,4494.192361608846
Sweep_land use_w50,15483165630342.078,48341481657.06636,148501.03816653142,,146942.183683441,,8930.0,45000.0,359417030.855519,0.019876631841833328,5.795298227450296,0.0,0.0,92.73479111026234,0.0,1.4500340304455133,5771561329.67004,0.0,0,256826824.69338,0,11784000.64269,0,0,5035459322.86354,0,0.0,0,73291181.47043,394200000.0,0,0,0,land use,50,574824.1236145591,4982.3118936158235
Sweep_land use_w100,12684798768240.266,48413045697.46642,182830.08424280162,,144291.2395677644,,8930.0,45000.0,351270560.6481705,0.020337599560913296,3.6105555181092632,0.0,0.0,83.40713258293944,0.0,12.961974299390386,4589514503.30802,0.0,0,266058569.31155,0,34930016.94368,0,0,3821034735.58236,0,0.0,0,73291181.47043,394200000.0,0,0,0,land use,100,436191.179861,23587.470948325623
Sweep_grid upgrades_w0,15062355345904.867,47440104285.1137,138427.40658511044,,157759.51742726524,,8930.0,45000.0,359373759.4463944,0.02484878142955241,5.774412152362109,0.0,0.0,94.14694711095521,0.0,0.05379195525314008,5690771333.012059,0.0,0,288529720.33342,0,481112.89065,0,0,4934252882.94623,0,0.0,0,73307616.84176,394200000.0,0,0,0,grid upgrades,0,563270.8770486565,197.70953392818083
Sweep_grid upgrades_w50,18529350466880.766,53252735548.55548,144361.05406749196,,92655.34969626751,26203.806140457848,8930.0,45000.0,358777281.56657463,0.018307258825344196,5.630034490082998,0.0,0.0,80.33822748696394,5.302222999395622,8.7112077647321,6596962075.92377,64963263.76701,0,79244944.55816,0,33998331.51088,0,0,5951268342.06823,0,0.0,0,73287194.01949,394200000.0,0,0,0,grid upgrades,50,679368.5321995701,18928.737240237013
Sweep_grid upgrades_w100,19834897349960.477,69454612730.85242,191668.1880374513,,27140.556780119878,78761.4176126467,8930.0,45000.0,363376565.10347617,0.039669991738394424,6.78138820644075,0.0,0.0,26.44103629813717,41.31861336476149,25.419292138922202,9363164020.99906,95938414.10341,0,9981273.58982,0,20892444.7508,0,0,8768786571.00257,0,0.0,0,73365317.55246,394200000.0,0,0,0,grid upgrades,100,1001003.0332194717,33047.73864457167
Sweep_reliability_w0,15850933292638.879,47013031884.398605,134655.09888207394,,143602.60356707423,14767.357682153193,8930.0,45000.0,358498173.64282143,0.02490947139077235,5.544278240620313,0.0,0.0,92.18651793141684,2.1395622062385704,0.10473215033348104,5721733423.95047,39123861.3559,0,246043654.2692,0,156937.02522,0,0,4968901354.45839,0,0.0,0,73307616.84176,394200000.0,0,0,0,reliability,0,567226.182015798,156.07400159808026
Sweep_reliability_w50,16844538365193.195,44252984237.6629,187407.10159338237,59783.942326155186,89881.26797237147,11025.110259789875,8930.0,45000.0,361626631.7178407,0.01975518220564604,3.948348115411153,2.4225570281630446,0.0,77.70975211306941,2.0888339601911947,13.810753600959536,3071647536.2942,26573293.48521,0,76893930.91103,0,50927055.75997,0,0,1926054739.89044,0,523707334.77712,0,73291181.47043,394200000.0,0,0,0,reliability,50,219869.2625445708,29481.307005184844
Sweep_reliability_w100,10100821578710.77,79939160287.07605,334778.24075350416,224486.88832007092,18201.788425138016,,8930.0,45000.0,415641730.6504214,0.1804727352150533,0.015964445017039485,18.209049771980585,0.0,17.501619007799913,0.0,64.0928940399874,2496855843.1839304,0.0,0,73808.43027,0,55921448.18869,0,0,6239719.3003,0,1966505141.68382,0,73915725.58085,394200000.0,0,0,0,reliability,100,712.2967237788176,94414.58405649613
